MsgID.GLOBAL_POSITION,0.0000000,-122.3974517,37.7924787,0.1260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,26.2950000,-0.1413043,-0.1570754,-0.1261684
MsgID.LOCAL_VELOCITY,26.2950000,0.0000022,0.0000206,0.0000155
MsgID.GLOBAL_POSITION,0.0000000,-122.3974517,37.7924783,0.0950000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,26.5450000,-0.1791692,-0.1518792,-0.0959125
MsgID.LOCAL_VELOCITY,26.5450000,-0.0000250,-0.0000177,0.0000156
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924797,0.0640000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,26.7950000,-0.0265922,0.0013365,-0.0645044
MsgID.LOCAL_VELOCITY,26.7950000,0.0000082,0.0000028,0.0000116
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924810,0.0300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,27.0450000,0.1191320,0.0170335,-0.0307334
MsgID.LOCAL_VELOCITY,27.0450000,-0.0000024,-0.0000232,0.0000177
MsgID.GLOBAL_POSITION,0.0000000,-122.3974502,37.7924807,-0.0040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,27.2950000,0.0836850,-0.0239458,0.0043985
MsgID.LOCAL_VELOCITY,27.2950000,0.0000014,-0.0000316,0.0000119
MsgID.GLOBAL_POSITION,0.0000000,-122.3974517,37.7924788,-0.0380000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,27.5450000,-0.1254742,-0.1521970,0.0387230
MsgID.LOCAL_VELOCITY,27.5450000,0.0000200,0.0000379,0.0000561
MsgID.GLOBAL_POSITION,0.0000000,-122.3974502,37.7924788,-0.0680000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,27.7950000,-0.1238218,-0.0259003,0.0683679
MsgID.LOCAL_VELOCITY,27.7950000,-0.0000666,-0.0000091,0.0000017
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924783,-0.0890000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,28.0450000,-0.1863853,0.1240250,0.0894289
MsgID.LOCAL_VELOCITY,28.0450000,-0.0000317,-0.0000111,0.0000073
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924789,-0.0980000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,28.2950000,-0.1112162,0.0626660,0.0987630
MsgID.LOCAL_VELOCITY,28.2950000,-0.0000242,-0.0000476,-0.0006216
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924798,-0.0940000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,28.5450000,-0.0180826,-0.1402367,0.0948620
MsgID.LOCAL_VELOCITY,28.5450000,-0.0000387,-0.0000116,-0.0000062
MsgID.GLOBAL_POSITION,0.0000000,-122.3974518,37.7924804,-0.0780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,28.7960000,0.0478696,-0.1620854,0.0784201
MsgID.LOCAL_VELOCITY,28.7960000,0.0000269,-0.0000042,0.0000030
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974507,37.7924798,-0.0520000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,29.0460000,-0.0120626,-0.0623411,0.0525248
MsgID.LOCAL_VELOCITY,29.0460000,-0.0000296,0.0000269,-0.0000007
MsgID.GLOBAL_POSITION,0.0000000,-122.3974489,37.7924786,-0.0210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,29.2960000,-0.1519777,0.0890679,0.0212269
MsgID.LOCAL_VELOCITY,29.2960000,-0.0000099,-0.0000002,0.0000032
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924795,0.0100000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,29.5460000,-0.0477705,0.0624928,-0.0107431
MsgID.LOCAL_VELOCITY,29.5460000,0.0000154,-0.0000341,0.0000194
MsgID.LOCAL_POSITION,29.7960000,-0.0002213,0.0519731,-0.0403868
MsgID.LOCAL_VELOCITY,29.7960000,-0.0000030,0.0000154,0.0000112
MsgID.GLOBAL_POSITION,0.0000000,-122.3974494,37.7924799,0.0400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,30.0460000,-0.0071111,-0.0895032,-0.0654173
MsgID.LOCAL_VELOCITY,30.0460000,-0.0000210,-0.0000166,0.0000111
MsgID.GLOBAL_POSITION,0.0000000,-122.3974510,37.7924799,0.0650000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30.2960000,-0.1329844,-0.1234463,-0.0870700
MsgID.LOCAL_VELOCITY,30.2960000,-0.0000051,0.0000100,0.0000220
MsgID.GLOBAL_POSITION,0.0000000,-122.3974513,37.7924788,0.0870000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30.5460000,-0.0842801,-0.0031202,-0.1074952
MsgID.LOCAL_VELOCITY,30.5460000,0.0000151,-0.0000282,0.0000266
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924792,0.1070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30.7960000,0.0228761,-0.0005874,-0.1289286
MsgID.LOCAL_VELOCITY,30.7960000,0.0000003,-0.0000135,0.0000122
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924802,0.1280000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,31.0460000,-0.0391837,-0.0005874,-0.1486638
MsgID.LOCAL_VELOCITY,31.0460000,0.0000038,-0.0000242,0.0000165
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924796,0.1480000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,31.2960000,0.0887818,-0.0005894,-0.1633019
MsgID.LOCAL_VELOCITY,31.2960000,-0.0000095,0.0000086,0.0000156
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924808,0.1630000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,31.5460000,0.1844382,-0.0399950,-0.1694681
MsgID.LOCAL_VELOCITY,31.5460000,0.0000141,-0.0000060,0.0000100
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924816,0.1690000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,31.7960000,0.1428337,-0.0846931,-0.1644914
MsgID.LOCAL_VELOCITY,31.7960000,0.0000015,0.0000063,0.0000200
MsgID.GLOBAL_POSITION,0.0000000,-122.3974509,37.7924812,0.1640000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,32.0460000,0.1384435,-0.0133909,-0.1470395
MsgID.LOCAL_VELOCITY,32.0460000,-0.0000110,-0.0000082,0.0000169
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924812,0.1470000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,32.2970000,0.0157225,-0.0005874,-0.1181492
MsgID.LOCAL_VELOCITY,32.2970000,0.0000007,-0.0000171,0.0000139
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924801,0.1180000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,32.5470000,-0.1160286,-0.0047747,-0.0806846
MsgID.LOCAL_VELOCITY,32.5470000,0.0000055,-0.0000066,0.0000231
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924789,0.0800000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,32.7970000,0.1301800,-0.1236423,-0.0394240
MsgID.LOCAL_VELOCITY,32.7970000,0.0000277,-0.0000421,0.0000207
MsgID.GLOBAL_POSITION,0.0000000,-122.3974513,37.7924811,0.0390000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,33.0470000,0.0497977,-0.0070681,0.0001956
MsgID.LOCAL_VELOCITY,33.0470000,-0.0000065,0.0000473,0.0000015
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924804,0.0000000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,33.2970000,-0.0829429,0.1027866,0.0332449
MsgID.LOCAL_VELOCITY,33.2970000,0.0000164,-0.0000057,0.0000118
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924792,-0.0330000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974516,37.7924802,-0.0560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,33.5470000,0.0317063,-0.1452310,0.0568540
MsgID.LOCAL_VELOCITY,33.5470000,0.0000215,-0.0000236,0.0000182
MsgID.LOCAL_POSITION,33.7970000,-0.0813828,-0.0142165,0.0707113
MsgID.LOCAL_VELOCITY,33.7970000,-0.0000335,0.0000259,-0.0000007
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924792,-0.0700000
